  196	  0.63	  0.75	19.793	  3.88	 19.35	193.783	 0.145	0	  0	  1	  0	  0	0.630	1.177	0.000	                        
  198	  0.54	  0.74	21.198	  4.65	 35.19	241.736	 0.178	0	  0	  0	  0	  0	0.000	0.000	7.794	                        
  199	  0.36	  0.50	16.686	  0.00	 38.89	 0.000	 0.000	0	  0	  1	  0	  1	0.204	0.191	0.503	                        
  200	  0.34	  0.63	13.890	  0.00	 82.35	 0.000	 0.000	0	  0	  0	  0	  1	0.292	0.484	2.789	                        
  202	  0.44	  0.46	15.613	  3.88	  4.55	142.900	 0.066	0	  0	  0	  0	  0	0.000	0.000	0.000	                        
  203	  0.60	  0.75	18.837	  4.65	 25.42	207.256	 0.155	0	  0	  2	  1	  0	0.374	0.374	0.000	                        
  204	  0.26	  0.42	13.026	  1.55	 61.54	55.881	 0.024	0	  0	  0	  0	  1	0.269	0.644	1.147	                        
  206	  0.90	  0.94	18.752	  0.00	  4.49	 0.000	 0.000	0	  0	  0	  0	  0	0.000	0.000	2.043	                        
  207	  0.49	  0.62	17.170	  3.88	 24.49	161.852	 0.100	0	  0	  0	  0	  0	0.000	0.000	4.018	                        
  209	  0.55	  0.61	16.362	  4.65	  9.09	171.087	 0.104	0	  0	  0	  0	  0	0.000	0.000	0.114	                        
  211	  0.67	  0.90	17.008	  3.88	 34.85	159.882	 0.144	0	  0	  0	  0	  0	0.000	0.000	0.092	                        
  212	  0.23	  0.26	11.459	  0.00	 13.04	 0.000	 0.000	0	  0	  0	  0	  0	0.000	0.000	0.040	                        
  214	  0.14	  0.15	 0.000	  0.00	 -1.00	 0.000	 0.000	0	  0	  0	  0	  0	0.000	0.000	0.000	                        
  215	  0.31	  0.61	20.203	  0.00	 93.55	 0.000	 0.000	0	  0	  0	  0	  1	0.363	0.363	9.896	                        
  216	  0.69	  0.86	15.507	  2.32	 25.00	96.283	 0.083	0	  0	  0	  0	  0	0.000	0.000	0.056	                        
  219	  0.31	  0.37	12.080	  2.32	 19.35	71.254	 0.027	0	  0	  0	  0	  0	0.000	0.000	4.507	                        
  220	  0.05	  0.05	 0.000	  0.00	 -1.00	 0.000	 0.000	0	  0	  0	  0	  0	0.000	0.000	0.000	                        
  221	  0.35	  0.37	11.149	  2.32	  5.71	64.452	 0.024	0	  0	  0	  0	  0	0.000	0.000	0.000	                        
  223	  0.66	  0.73	15.571	  1.55	 10.77	68.274	 0.050	0	  1	  0	  0	  0	0.371	0.371	0.000	                        
  224	  0.62	  0.63	15.610	  6.20	  1.64	183.284	 0.115	0	  0	  1	  0	  0	0.129	0.501	0.000	                        
  225	  0.61	  0.65	18.048	  1.55	  6.67	80.334	 0.052	0	  0	  0	  0	  0	0.000	0.000	0.016	                        
  226	  0.74	  0.80	16.142	  5.42	  8.22	182.652	 0.146	0	  0	  0	  0	  0	0.000	0.000	0.000	                        
  228	  0.53	  0.59	13.186	  1.55	  9.43	56.663	 0.033	0	  0	  0	  0	  1	0.572	0.572	9.477	                        
  229	  0.52	  0.59	13.883	  4.65	 11.54	134.887	 0.079	0	  0	  0	  0	  0	0.000	0.000	0.025	                        
  232	  0.48	  0.69	15.896	  4.65	 41.67	164.284	 0.113	0	  0	  0	  2	  0	0.223	0.180	0.008	                        
  233	  0.76	  0.83	10.440	  3.88	  9.33	79.921	 0.066	0	  0	  1	  1	  0	0.219	0.399	0.010	                        
  235	  0.65	  0.72	20.509	  5.42	 10.94	257.085	 0.184	0	  0	  2	  0	  0	0.232	0.377	0.008	                        
  236	  0.58	  0.63	18.454	  4.65	  8.77	201.649	 0.126	0	  0	  1	  0	  0	0.198	0.575	0.022	                        
  241	  0.66	  0.72	13.374	  0.77	  9.23	30.674	 0.022	0	  0	  2	  0	  0	0.346	0.346	3.057	                        
  242	  0.43	  0.43	76.139	  0.00	  0.00	 0.000	 0.000	1	  0	  0	  0	  0	0.000	0.000	0.150	                        
  245	  0.33	  0.35	14.364	  2.32	  6.06	87.933	 0.031	0	  0	  0	  0	  0	0.000	0.000	0.254	                        
  246	  1.48	  1.55	13.899	  4.65	  4.76	135.114	 0.210	0	  1	  1	  0	  0	0.488	0.488	0.000	                        
  247	  0.53	  0.71	14.165	  5.42	 32.08	148.953	 0.105	0	  0	  0	  1	  0	0.279	0.768	0.247	                        
  248	  0.31	  0.33	13.712	  0.77	  6.45	31.498	 0.010	0	  0	  0	  0	  0	0.000	0.000	0.162	                        
  251	  0.59	  0.85	14.132	  0.00	 44.83	 0.000	 0.000	0	  0	  0	  0	  1	0.225	0.225	0.370	                        
  253	  0.44	  0.47	 8.803	  2.32	  6.82	47.314	 0.022	0	  0	  0	  0	  0	0.000	0.000	24.591	                        
  255	  0.16	  0.16	 0.000	  0.00	 -1.00	 0.000	 0.000	0	  0	  0	  0	  0	0.000	0.000	0.000	                        
