1	  2.31	  2.49	40.198	 16.94	  7.79	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
2	  2.31	  2.58	20.892	  0.00	 11.69	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
3	  0.27	  0.35	26.160	  6.93	 29.63	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
4	  0.72	  1.00	35.008	  0.00	 38.89	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
5	  1.08	  1.17	28.119	  9.24	  8.33	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
6	  2.67	  2.95	17.143	  8.47	 10.49	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
7	  3.59	  3.89	32.537	 13.09	  8.36	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
8	  0.95	  1.77	23.700	  0.00	 86.32	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
9	  0.73	  0.86	15.763	  0.00	 17.81	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
10	  1.26	  1.40	24.988	  0.00	 11.11	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
11	  0.24	  0.44	 9.911	  2.31	 83.33	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
12	  2.87	  3.52	18.816	  0.00	 22.65	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
13	  0.84	  0.88	30.350	  0.00	  4.76	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
14	  3.27	  3.51	45.548	 10.78	  7.34	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
15	  0.91	  1.14	32.401	  0.00	 25.27	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
16	  0.39	  0.42	21.527	  5.39	  7.69	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
17	  5.21	  6.26	33.533	  0.00	 20.15	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
18	  0.77	  1.71	26.013	  0.00	122.08	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
19	  2.27	  2.91	28.442	  0.00	 28.19	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
20	  1.01	  1.08	18.683	  9.24	  6.93	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
21	  3.94	  4.17	33.444	 13.09	  5.84	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
22	  0.26	  0.29	15.452	  6.16	 11.54	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
23	  1.98	  2.58	24.299	 10.01	 30.30	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
24	  1.64	  3.59	26.905	  0.00	118.90	  0.00	  0.00	0	0	0	0	0	0.000	0.000	0.000
